,zrun_comp,zrun_const,vrun_comp,vrun_const
418,0.34904,0.36798,593.4997704169858,608.2496284583153
419,0.00014,0.00014,0.4916322047262391,0.5417639137386652
420,2.87002,4.26202,284.19919093816657,304.7725174223171
421,0.18694,0.19312,658.4993153892223,659.679040404666
422,1.18022,1.38918,580.6387558461477,611.8721367523409
423,0.00624,0.00622,9.285730022160092,9.30103501436841
424,4.91646,11.73304,14.32191847531551,16.297535508620875
425,0.0,0.0,0.0,0.0
426,0.0,0.0,0.0,0.0
427,7.8078,51.34716,1.5000925908778104,2.7459704184493217
428,0.00398,0.00318,14.828231027537822,12.079306305723158
429,8e-05,0.0,0.2906477764318581,0.0
430,6.16686,10.18348,5.018149487874306,5.664360393717494
431,0.00024,0.00048,0.1356800974762552,0.2174395208978524
432,2e-05,0.0,2.9095701161293395,0.0
433,9.2262,74.41064,17.789171238861755,20.61345020242121
434,3.0126,3.8172,20.627050364456327,21.16721015238521
435,0.0733,0.07614,1.0741026277193024,1.0915662696618902
436,0.0015,0.00164,5.07858257638927,5.976209135715228
437,4.54984,6.0128,12.736960261260204,13.202489368954064
438,0.00302,0.00316,55.81764931065347,64.21875574417885
439,0.01432,0.01564,26.83029112255911,29.29040629263975
440,4.7035,6.5391,11.461534548794676,12.0550425318516
441,0.00038,0.00024,66.49629981027462,44.52992378529206
442,0.0,0.0,0.0,0.0
443,9.37782,94.07328,1.6163011600540675,3.053150817006318
444,3.14338,4.43628,94.77403064426362,98.1282215623976
445,0.45338,0.48328,570.3852376577665,590.2346209509158
446,9.18986,63.21176,1.8161483513357408,3.1400011864909296
447,0.57548,0.62186,688.2529110098124,710.2289940429914
448,7.65332,25.648,29.441385411870204,32.56039518853346
449,0.0046,0.00394,17.23865015621836,13.85126633876442
450,6.19056,16.82942,25.38941230052961,28.03861966834185
451,5.4109,10.98002,10.855477002526277,12.325654378920603
452,5.98352,18.86012,111.87311756523692,122.03788365064332
453,2e-05,0.0,0.4288013616149444,0.0
