,tdwells,true_pdf,approx_pdf
176,0.021390661391757656,0.4169003341694046,0.3331950411070858
177,0.02151219924057446,0.4011052466047484,0.319411639945384
178,0.021633737089391265,0.3859085888938238,0.30619532471230515
179,0.02175527493820807,0.37128768813982604,0.2935229261470958
180,0.021876812787024875,0.3572207304790246,0.28137221295074244
181,0.02199835063584168,0.34368672850967,0.2697218542873239
182,0.022119888484658484,0.3306654899966225,0.25855138375797515
183,0.02224142633347529,0.31813758774857326,0.24784116479118215
184,0.022362964182292094,0.30608433061201545,0.23757235739516439
185,0.0224845020311089,0.294487735617714,0.22772688622010573
186,0.022606039879925703,0.2833305010983453,0.21828740987990813
187,0.02272757772874251,0.2725959809151381,0.2092372914850042
188,0.022849115577559313,0.2622681596243107,0.2005605703395553
189,0.02297065342637612,0.25233162855101215,0.19224193475809231
190,0.023092191275192922,0.24277156281679133,0.18426669595833023
191,0.02321372912400973,0.23357369921669519,0.1766207629884989
192,0.023335266972826535,0.2247243149539612,0.16929061864908615
193,0.023456804821643338,0.21621020715234443,0.16226329637039957
194,0.023578342670460144,0.20801867314939768,0.15552635800878725
195,0.023699880519276947,0.20013749155324917,0.14906787252577816
196,0.023821418368093754,0.19255490401148564,0.14287639551571993
197,0.023942956216910557,0.18525959766108102,0.136940949548827
198,0.024064494065727363,0.1782406882680142,0.13125100529776879
199,0.024186031914544166,0.17148770394483362,0.12579646341716744
200,0.024307569763360973,0.1649905695796395,0.1205676371465164
201,0.024429107612177776,0.15873959177072264,0.11555523560816462
202,0.024550645460994582,0.1527254443706403,0.1107503477730908
203,0.024672183309811385,0.14693915457367904,0.10614442706823045
204,0.02479372115862819,0.14137208953134914,0.10172927660012605
205,0.024915259007444998,0.13601594347040094,0.09749703497063804
206,0.0250367968562618,0.13086272530296428,0.09344016266138028
207,0.025158334705078608,0.1259047466906751,0.08955142896445116
208,0.02527987255389541,0.12113461059473263,0.08582389943788107
209,0.025401410402712217,0.11654520022434087,0.08225092386506543
210,0.02552294825152902,0.11212966842157333,0.07882612469823862
211,0.025644486100345826,0.10788142745943409,0.07554338596682532
212,0.02576602394916263,0.10379413918349994,0.072396842632244
213,0.025887561797979436,0.09986170558576084,0.06938087037145066
214,0.02600909964679624,0.0960782596910439,0.06649007577220513
215,0.026130637495613045,0.09243815680849281,0.06371928692369418
216,0.02625217534442985,0.08893596610970496,0.06106354438679344
217,0.026373713193246655,0.08556646251380999,0.05851809252885354
218,0.02649525104206346,0.08232461891678573,0.0560783712084946
219,0.026616788890880264,0.07920559866650209,0.053740007796451404
220,0.02673832673969707,0.07620474836603298,0.05149880951906605
221,0.026859864588513874,0.07331759091343522,0.04935075611154476
222,0.02698140243733068,0.0705398188385289,0.047291992768601715
223,0.027102940286147483,0.06786728786143503,0.0453188233805998
224,0.02722447813496429,0.06529601072323966,0.04342770404376416
225,0.027346015983781093,0.06282215122807995,0.04161523683349489
226,0.0274675538325979,0.060442018518628154,0.03987816383023622
227,0.027589091681414702,0.0581520615768224,0.03821336138777628
228,0.02771062953023151,0.05594886392165808,0.036617834634249856
229,0.02783216737904831,0.05382913851365535,0.03508871219650186
230,0.027953705227865118,0.051789722843380556,0.033623241138837724
231,0.028075243076681924,0.0498275742266106,0.032218782107542365
232,0.028196780925498727,0.04793976525253772,0.030872804672891354
233,0.028318318774315534,0.04612347942497047,0.029582882860703163
234,0.028439856623132337,0.04437600695178511,0.028346690865802198
235,0.028561394471949143,0.042694740709711285,0.027161998940058447
236,0.028682932320765946,0.041077172350338705,0.026026669447967773
237,0.028804470169582753,0.039520888558457715,0.024938653083010746
238,0.028926008018399556,0.03802356745552437,0.023895985238302577
239,0.029047545867216362,0.03658297512691803,0.02289678252529965
240,0.029169083716033165,0.035196962295544816,0.021939239434582158
241,0.02929062156484997,0.033863461116694936,0.021021625132965988
242,0.029412159413666775,0.03258048208693674,0.020142280391430695
243,0.02953369726248358,0.0313461110804345,0.019299614638566828
244,0.029655235111300388,0.03015850649115578,0.01849210313446144
245,0.02977677296011719,0.02901589648567885,0.0177182842601406
