,x_dwell_2free1um,y_dwell_2free1um,x_detach_2free1um,y_detach_2free1um,x_detach_2free100um,y_detach_2free100um,x_dwell_4free1um,y_dwell_4free1um,x_detach_4free1um,y_detach_4free1um,x_detach_4free100um,y_detach_4free100um
27,0.7043478260869566,0.49420120891593344,0.29479933110367895,0.264730811892732,0.29479933110367895,1.0210353987695455,0.7043478260869566,0.5579056408893708,0.29479933110367895,1.5114397516864682,0.29479933110367895,1.3416468347569965
28,0.7304347826086957,0.4785286246869226,0.30590301003344483,0.2934987993166401,0.30590301003344483,1.0883624550156186,0.7304347826086957,0.543636888670032,0.30590301003344483,1.5997923259014795,0.30590301003344483,1.4234990582998324
29,0.7565217391304349,0.4631634516352854,0.3170066889632107,0.32428675846614985,0.3170066889632107,1.1535621118242483,0.7565217391304349,0.5295730628028076,0.3170066889632107,1.6827028740472745,0.3170066889632107,1.5012011656571793
30,0.782608695652174,0.44815885105535114,0.3281103678929766,0.35714059563675693,0.3281103678929766,1.2159208087957687,0.782608695652174,0.5155766635478976,0.3281103678929766,1.759004442278739,0.3281103678929766,1.5737448367761173
31,0.8086956521739131,0.4335883667431039,0.3392140468227425,0.3921018127875054,0.3392140468227425,1.2747721256737032,0.8086956521739131,0.5015459846362877,0.3392140468227425,1.8276389152102066,0.3392140468227425,1.6402053835264108
32,0.8347826086956522,0.4195287415501519,0.35031772575250836,0.42920670570879293,0.35031772575250836,1.3295135527520445,0.8347826086956522,0.487416903953664,0.35031772575250836,1.887686993626738,0.35031772575250836,1.6997667783306898
33,0.8608695652173913,0.40604617548335653,0.36142140468227424,0.4684852364054933,0.36142140468227424,1.3796209047981896,0.8608695652173913,0.47316258323213867,0.36142140468227424,1.9383934449815958,0.36142140468227424,1.751742903753882
34,0.8869565217391305,0.3931871796336431,0.3725250836120401,0.5099595499970363,0.3725250836120401,1.4246598123232495,0.8869565217391305,0.4587924026988203,0.3725250836120401,1.9791865398033257,0.3725250836120401,1.7955941397848008
35,0.9130434782608696,0.3809741527147881,0.383628762541806,0.5536421212959943,0.383628762541806,1.4642938850730471,0.9130434782608696,0.4443503860796541,0.383628762541806,2.009690888845787,0.383628762541806,1.8309386526033191
36,0.9391304347826088,0.3694050224951726,0.3947324414715719,0.5995335334551262,0.3947324414715719,1.4982893235751114,0.9391304347826088,0.4299123188513465,0.3947324414715719,2.0297332416115403,0.3947324414715719,1.857558029884449
