,MyoV Time (s),MyoV Disp (um),MyoXI Time (s),MyoXI Disp (um)
398,,,0.6579593833679382,0.288
399,,,0.6586268655113825,0.288
400,,,0.6586268655113825,0.324
401,,,0.659134986930213,0.324
402,,,0.6612520119996006,0.0
403,,,0.6626400285753187,0.0
404,,,0.6627949195547886,0.0
405,,,0.6628719743302467,0.0
406,,,0.6628719743302467,0.036
407,,,0.6659434944533107,0.036
408,,,0.6662972063856074,0.036
409,,,0.6664693139604774,0.036
410,,,0.6664693139604774,0.072
411,,,0.6669380973714194,0.072
412,,,0.6671821129450866,0.072
413,,,0.6681831869451313,0.072
414,,,0.6681831869451313,0.108
415,,,0.6701440607484539,0.108
416,,,0.6708849774151648,0.0
417,,,0.6767773464150153,0.0
418,,,0.6769061563048648,0.0
419,,,0.6770995753984952,0.0
420,,,0.6870031034366049,0.0
421,,,0.6885181830512384,0.0
422,,,0.6885239306800521,0.0
423,,,0.6885239306800521,0.036
424,,,0.6947049786608623,0.036
425,,,0.6971531461417726,0.036
426,,,0.6981783193768649,0.036
427,,,0.6981783193768649,0.072
428,,,0.6983162526234734,0.072
429,,,0.6996456954204087,0.0
430,,,0.7006922916524196,0.0
431,,,0.7043072440381337,0.0
432,,,0.706623105619058,0.0
433,,,0.7066874372072025,0.0
434,,,0.7072774439246841,0.0
435,,,0.7072774439246841,0.036
436,,,0.7273287417746461,0.036
437,,,0.7273482344032001,0.036
438,,,0.727997155847036,0.036
439,,,0.727997155847036,0.072
440,,,0.7327830276658798,0.072
441,,,0.7344728084075003,0.072
442,,,0.7344952874826607,0.072
443,,,0.7344952874826607,0.108
444,,,0.7374699615759921,0.108
445,,,0.7383971489389634,0.108
446,,,0.7385302694505054,0.108
447,,,0.7385302694505054,0.144
448,,,0.7403605005632539,0.144
449,,,0.7413443637818427,0.144
450,,,0.7419051647461679,0.144
451,,,0.7419051647461679,0.18
452,,,0.7462924971583877,0.18
453,,,0.7467137776273489,0.18
454,,,0.74914041918852,0.18
455,,,0.74914041918852,0.216
456,,,0.756669717951862,0.216
457,,,0.7568712024367921,0.216
458,,,0.7571268020754163,0.216
459,,,0.7571268020754163,0.252
460,,,0.7632358831994193,0.252
461,,,0.7639450639930265,0.252
462,,,0.7639461095994919,0.252
463,,,0.7639461095994919,0.288
464,,,0.7646872130978863,0.288
465,,,0.7680257834827691,0.288
466,,,0.7722182769402153,0.288
467,,,0.7725726668301052,0.288
468,,,0.7728847148120304,0.288
469,,,0.7728847148120304,0.324
470,,,0.7827229036359933,0.324
471,,,0.7843175670492899,0.0
472,,,0.7846753634090815,0.0
473,,,0.7860738926432767,0.0
474,,,0.7861530259960139,0.0
475,,,0.7861530259960139,0.036
476,,,0.7867252226602037,0.036
477,,,0.7870925697722191,0.036
478,,,0.7883755919492383,0.036
479,,,0.7883755919492383,0.072
480,,,0.7894429794561111,0.072
481,,,0.7903945693052208,0.072
482,,,0.7908809523635103,0.072
483,,,0.7908809523635103,0.108
484,,,0.8061781367457748,0.108
485,,,0.8068706285430274,0.108
486,,,0.8070785185844862,0.108
487,,,0.8070785185844862,0.144
488,,,0.8117179042059144,0.144
489,,,0.8123601454659699,0.144
490,,,0.812672699886015,0.144
491,,,0.812672699886015,0.18
492,,,0.8131810580857577,0.18
493,,,0.8132956989595019,0.18
494,,,0.8134659898067609,0.0
495,,,0.8150194708586467,0.0
496,,,0.8155744677764698,0.0
497,,,0.8160075527428727,0.0
498,,,0.8160075527428727,0.036
499,,,0.8240816795926165,0.036
500,,,0.8243239574256966,0.036
501,,,0.8243933119686666,0.036
502,,,0.8243933119686666,0.072
503,,,0.8255729166300254,0.072
504,,,0.8260048542079153,0.072
505,,,0.826457075871093,0.072
506,,,0.826457075871093,0.108
507,,,0.8275887988822932,0.108
508,,,0.8280811768273146,0.108
509,,,0.8280954688156097,0.108
510,,,0.8280954688156097,0.144
511,,,0.8322561305658391,0.144
512,,,0.8324377164821204,0.144
513,,,0.8331382331357622,0.144
